Station
Bloor
Yonge
St. George 
Union
Finch
Eglinton
Sheppard-Yonge 
Kennedy 
Dundas
King
Kipling
St. Andrew
Queen
Sheppard-Yonge 
College
Queen's Park
St. Clair
Downsview
Islington
Kennedy 
Bathurst
St. Patrick
Spadina 
Bay
Ossington
St. Clair West
Warden
Don Mills
Broadview
Victoria Park
Yorkdale
Dufferin
Dundas West
Pape
Sherbourne
Main Street
Scarborough Centre
York Mills
Wellesley
North York Centre
Davisville
Lawrence
Osgoode
Wilson
Lawrence West
Eglinton West
Royal York
Runnymede
Coxwell
Jane
Lansdowne
Keele
Woodbine
Dupont
Spadina 
Christie
High Park
Donlands
Greenwood
Bayview
Lawrence East
Museum 
Castle Frank
Chester
Rosedale
Old Mill
Summerhill
Glencairn
Leslie
McCowan
Midland
Bessarion
Ellesmere
